Country,Total Freelancers,<1,1,2,3,4,5
India,1688171,1659702,201,158,508,12449,15153
Pakistan,370228,358329,77,59,211,5341,6211
Bangladesh,202878,187592,55,59,267,6567,8338
Indonesia,141855,139141,8,8,47,1028,1623
Egypt,126025,121359,27,19,71,1622,2927
Brazil,124076,122315,5,8,20,484,1244
Philippines,123445,120473,23,12,37,937,1963
United States,117615,112605,19,14,54,1434,3489
Turkey,73802,71980,7,5,23,531,1256
Nigeria,70184,68853,12,9,27,465,818
